0;41;467
1;334;500
2;169;724
3;478;358
4;962;464
5;705;145
6;281;827
7;961;491
8;995;942
9;827;436
10;391;604
11;902;153
12;292;382
13;421;716
14;718;895
15;447;726
16;771;538
17;869;912
18;667;299
19;35;894
20;703;811
21;322;333
22;673;664
23;141;711
24;253;868
25;547;644
26;662;757
27;37;859
28;723;741
29;529;778
30;316;35
31;190;842
32;288;106
33;40;942
34;264;648
35;446;805
36;890;729
37;370;350
38;6;101
39;393;548
40;629;623
41;84;954
42;756;840
43;966;376
44;931;308
45;944;439
46;626;323
47;537;538
48;118;82
49;929;541
50;833;115
51;639;658
52;704;930
53;977;306
54;673;386
55;21;745
56;924;72
57;270;829
58;777;573
59;97;512
60;986;290
61;161;636
62;355;767
63;655;574
64;31;52
65;350;150
66;941;724
67;966;430
68;107;191
69;7;337
70;457;287
71;753;383
72;945;909
73;209;758
74;221;588
75;422;946
76;506;30
77;413;168
78;900;591
79;762;655
80;410;359
81;624;537
82;548;483
83;595;41
84;602;350
85;291;836
86;374;20
87;596;21
88;348;199
89;668;484
90;281;734
91;53;999
92;418;938
93;900;788
94;127;467
95;728;893
96;648;483
97;807;421
98;310;617
99;813;514
100;309;616
101;935;451
102;600;249
103;519;556
104;798;303
105;224;8
106;844;609
107;989;702
108;195;485
109;93;343
110;523;587
111;314;503
112;448;200
113;458;618
114;580;796
115;798;281
116;589;798
117;9;157
118;472;622
119;538;292
120;38;179
121;190;657
122;958;191
123;815;888
124;156;511
125;202;634
126;272;55
127;328;646
128;362;886
129;875;433
130;869;142
131;844;416
132;881;998
133;322;651
134;21;699
135;557;476
136;892;389
137;75;712
138;600;510
139;3;869
140;861;688
141;401;789
142;255;423
143;2;585
144;182;285
145;88;426
146;617;757
147;832;932
148;169;154
149;721;189
150;976;329
151;368;692
152;425;555
153;434;549
154;441;512
155;145;60
156;718;753
157;139;423
158;279;996
159;687;529
160;549;437
161;866;949
162;193;195
163;297;416
164;286;105
165;488;282
166;455;734
167;114;701
168;316;671
169;786;263
170;313;355
171;185;53
172;912;808
173;832;945
174;313;756
175;321;558
176;646;982
177;481;144
178;196;222
179;129;161
180;535;450
181;173;466
182;44;659
183;292;439
184;253;24
185;154;510
186;745;649
187;186;313
188;474;22
189;168;18
190;787;905
191;958;391
192;202;625
193;477;414
194;314;824
195;334;874
196;372;159
197;833;70
198;487;297
199;518;177
